target_name	t_accession	tlen	query_name	q_accession	qlen	fullseq_evalue	fullseq_score	fullseq_bias	num_of_domain	total_hit_domains	c-evalue	i-evalue	hmm_score	hmm_bias	hmm_coord_from	hmm_coord_to	ali_coord_from	ali_coord_to	env_coord_from	env_coord_to	acc	description_of_target	aln_length	qcov
DRYJ01000053.1_446	-	80	37924_DRYJ01000053.1_446	-	80	1.4e-56	191.1	8.6	1	1	3.1e-61	1.5e-56	190.9	8.6	1	80	1	80	1	80	0.99	[26096 - 25857] (REVERSE SENSE) TPA_asm: Candidatus Bathyarchaeota archaeon isolate SpSt-11 Ga0065719_100268, whole genome shotgun sequence	79	0.9875
Ga0065719_100268_446	-	80	37924_DRYJ01000053.1_446	-	80	1.4e-56	191.1	8.6	1	1	3.1e-61	1.5e-56	190.9	8.6	1	80	1	80	1	80	0.99	[26096 - 25857] (REVERSE SENSE)	79	0.9875
DRYJ01000053.1_456	-	79	37934_DRYJ01000053.1_456	-	79	7.7e-54	181.9	10.9	1	1	1.7e-58	8.4e-54	181.8	10.9	1	79	1	79	1	79	1	[25708 - 25472] (REVERSE SENSE) TPA_asm: Candidatus Bathyarchaeota archaeon isolate SpSt-11 Ga0065719_100268, whole genome shotgun sequence	78	0.9873417721518988
Ga0065719_100268_456	-	79	37934_DRYJ01000053.1_456	-	79	7.7e-54	181.9	10.9	1	1	1.7e-58	8.4e-54	181.8	10.9	1	79	1	79	1	79	1	[25708 - 25472] (REVERSE SENSE)	78	0.9873417721518988
DRYJ01000053.1_462	-	139	37940_DRYJ01000053.1_462	-	139	7.3e-82	274.3	4.9	1	1	1.7e-86	8.1e-82	274.1	4.9	1	139	1	139	1	139	0.99	[25439 - 25023] (REVERSE SENSE) TPA_asm: Candidatus Bathyarchaeota archaeon isolate SpSt-11 Ga0065719_100268, whole genome shotgun sequence	138	0.9928057553956835
Ga0065719_100268_462	-	139	37940_DRYJ01000053.1_462	-	139	7.3e-82	274.3	4.9	1	1	1.7e-86	8.1e-82	274.1	4.9	1	139	1	139	1	139	0.99	[25439 - 25023] (REVERSE SENSE)	138	0.9928057553956835
DRYJ01000053.1_468	-	105	37946_DRYJ01000053.1_468	-	105	1.8e-71	239.6	1.3	1	1	6.2e-76	2e-71	239.4	1.3	1	105	1	105	1	105	1	[24966 - 24652] (REVERSE SENSE) TPA_asm: Candidatus Bathyarchaeota archaeon isolate SpSt-11 Ga0065719_100268, whole genome shotgun sequence	104	0.9904761904761905
Ga0065719_100268_468	-	105	37946_DRYJ01000053.1_468	-	105	1.8e-71	239.6	1.3	1	1	6.2e-76	2e-71	239.4	1.3	1	105	1	105	1	105	1	[24966 - 24652] (REVERSE SENSE)	104	0.9904761904761905
DRYJ01000053.1_473	-	124	37951_DRYJ01000053.1_473	-	124	2.8e-84	281.5	4.9	1	1	6.5e-89	3.1e-84	281.3	4.9	1	124	1	124	1	124	1	[24671 - 24300] (REVERSE SENSE) TPA_asm: Candidatus Bathyarchaeota archaeon isolate SpSt-11 Ga0065719_100268, whole genome shotgun sequence	123	0.9919354838709677
Ga0065719_100268_473	-	124	37951_DRYJ01000053.1_473	-	124	2.8e-84	281.5	4.9	1	1	6.5e-89	3.1e-84	281.3	4.9	1	124	1	124	1	124	1	[24671 - 24300] (REVERSE SENSE)	123	0.9919354838709677
DRYJ01000053.1_478	-	74	37956_DRYJ01000053.1_478	-	74	4.7e-53	179.5	5.3	1	1	1.1e-57	5.1e-53	179.4	5.3	1	74	1	74	1	74	1	[24278 - 24057] (REVERSE SENSE) TPA_asm: Candidatus Bathyarchaeota archaeon isolate SpSt-11 Ga0065719_100268, whole genome shotgun sequence	73	0.9864864864864865
Ga0065719_100268_478	-	74	37956_DRYJ01000053.1_478	-	74	4.7e-53	179.5	5.3	1	1	1.1e-57	5.1e-53	179.4	5.3	1	74	1	74	1	74	1	[24278 - 24057] (REVERSE SENSE)	73	0.9864864864864865
DRYJ01000053.1_490	-	304	37968_DRYJ01000053.1_490	-	287	4.1e-151	504.4	2	1	1	9.4e-156	4.6e-151	504.3	2	3	287	1	302	1	302	0.99	[24057 - 23146] (REVERSE SENSE) TPA_asm: Candidatus Bathyarchaeota archaeon isolate SpSt-11 Ga0065719_100268, whole genome shotgun sequence	301	1.048780487804878
Ga0065719_100268_490	-	304	37968_DRYJ01000053.1_490	-	287	4.1e-151	504.4	2	1	1	9.4e-156	4.6e-151	504.3	2	3	287	1	302	1	302	0.99	[24057 - 23146] (REVERSE SENSE)	301	1.048780487804878
DRYJ01000053.1_497	-	162	37975_DRYJ01000053.1_497	-	160	1.5e-73	248.3	9.4	1	1	6.8e-78	1.6e-73	248.2	9.4	2	159	4	161	1	162	0.99	[23146 - 22661] (REVERSE SENSE) TPA_asm: Candidatus Bathyarchaeota archaeon isolate SpSt-11 Ga0065719_100268, whole genome shotgun sequence	157	0.98125
Ga0065719_100268_497	-	162	37975_DRYJ01000053.1_497	-	160	1.5e-73	248.3	9.4	1	1	6.8e-78	1.6e-73	248.2	9.4	2	159	4	161	1	162	0.99	[23146 - 22661] (REVERSE SENSE)	157	0.98125
DRYJ01000053.1_523	-	86	38001_DRYJ01000053.1_523	-	86	6.6e-58	195.2	10.3	1	1	6.8e-62	7.3e-58	195.1	10.3	1	86	1	86	1	86	1	[21579 - 21322] (REVERSE SENSE) TPA_asm: Candidatus Bathyarchaeota archaeon isolate SpSt-11 Ga0065719_100268, whole genome shotgun sequence	85	0.9883720930232558
Ga0065719_100268_523	-	86	38001_DRYJ01000053.1_523	-	86	6.6e-58	195.2	10.3	1	1	6.8e-62	7.3e-58	195.1	10.3	1	86	1	86	1	86	1	[21579 - 21322] (REVERSE SENSE)	85	0.9883720930232558
DRYJ01000053.1_848	-	56	38326_DRYJ01000053.1_848	-	56	4.7e-41	141.4	6.8	1	1	2.7e-45	5.1e-41	141.2	6.8	1	56	1	56	1	56	0.99	[7055 - 6888] (REVERSE SENSE) TPA_asm: Candidatus Bathyarchaeota archaeon isolate SpSt-11 Ga0065719_100268, whole genome shotgun sequence	55	0.9821428571428571
Ga0065719_100268_848	-	56	38326_DRYJ01000053.1_848	-	56	4.7e-41	141.4	6.8	1	1	2.7e-45	5.1e-41	141.2	6.8	1	56	1	56	1	56	0.99	[7055 - 6888] (REVERSE SENSE)	55	0.9821428571428571
CP010426.1_17077	-	765	39559_VEPM01000029.1_1079	-	600	2.1e-293	976.8	21.7	1	1	9.8e-297	2.4e-293	976.6	21.7	1	597	2	593	1	707	0.99	[771351 - 769057] (REVERSE SENSE) Archaeon GW2011_AR20 chromosome, complete genome	591	0.985
VEPM01000029.1_1079	-	632	39559_VEPM01000029.1_1079	-	600	1.1e-255	852.3	17.6	1	1	5.3e-259	1.3e-255	852	17.6	2	596	14	632	11	632	0.99	[47980 - 46085] (REVERSE SENSE) Candidatus Methanoperedens sp. isolate MnB_20 Mn.Bin2_29, whole genome shotgun sequence	618	1.03
QNAN01000020.1_50	-	601	39559_VEPM01000029.1_1079	-	600	4.1e-219	731.5	9.2	1	1	2.1e-222	5e-219	731.2	9.2	13	573	6	596	2	601	0.98	[1589 - 3391] Thermotogae bacterium isolate B96_G9 B96_Guay9_scaffold_13443, whole genome shotgun sequence	590	0.9833333333333333
DQXS01000079.1_50	-	601	39559_VEPM01000029.1_1079	-	600	7.8e-219	730.5	9.2	1	1	3.9e-222	9.5e-219	730.3	9.2	13	573	6	596	2	601	0.98	[1589 - 3391] TPA_asm: Candidatus Altiarchaeales archaeon isolate HyVt-139 Ga0116200_10000074, whole genome shotgun sequence	590	0.9833333333333333
Ga0116200_10000074_50	-	601	39559_VEPM01000029.1_1079	-	600	7.8e-219	730.5	9.2	1	1	3.9e-222	9.5e-219	730.3	9.2	13	573	6	596	2	601	0.98	[1589 - 3391]	590	0.9833333333333333
Ga0172379_10000243_1712	-	572	39559_VEPM01000029.1_1079	-	600	1.8e-216	722.7	26.2	1	1	8.4e-220	2e-216	722.6	26.2	2	573	6	572	1	572	0.98	[104325 - 106040]	566	0.9433333333333334
Ga0172379_10001592_425	-	696	39559_VEPM01000029.1_1079	-	600	1.3e-95	323.6	19.7	1	1	8.2e-99	2e-95	323	19.7	6	514	8	536	1	624	0.83	[24841 - 26928]	528	0.88
Ga0172377_10000119_1194	-	703	39559_VEPM01000029.1_1079	-	600	2.3e-95	322.8	19.2	1	1	1.4e-98	3.4e-95	322.2	19.2	4	524	10	534	2	599	0.87	[58944 - 61052]	524	0.8733333333333333
DQZJ01000063.1_58	-	539	39559_VEPM01000029.1_1079	-	600	3.4e-73	249.5	4.9	1	1	2.6e-76	6.3e-73	248.6	4.9	2	506	6	506	1	512	0.9	[1729 - 3345] TPA_asm: Candidatus Aenigmarchaeota archaeon isolate HyVt-178 Ga0116200_10020085, whole genome shotgun sequence	500	0.8333333333333334
Ga0075122_10000557_369	-	602	39559_VEPM01000029.1_1079	-	600	1.7e-41	144.9	13.1	1	1	1.5e-43	3.6e-40	140.5	12.7	5	512	8	486	1	548	0.81	[17633 - 19438]	478	0.7966666666666666
DRBS01000206.1_58	-	634	39559_VEPM01000029.1_1079	-	600	3.3e-38	134	8.8	1	1	2.1e-41	5e-38	133.4	8.8	6	533	25	584	16	630	0.7	[1494 - 3395] TPA_asm: Candidatus Desulfofervidus auxilii isolate HyVt-233 Ga0116200_10000518, whole genome shotgun sequence	559	0.9316666666666666
Ga0078972_1006503_634	-	559	39559_VEPM01000029.1_1079	-	600	1.1e-36	128.9	10.2	1	1	6.6e-40	1.6e-36	128.4	10.2	7	526	16	517	8	547	0.77	[25239 - 23563] (REVERSE SENSE)	501	0.835
Ga0222667_1000160_1268	-	594	39559_VEPM01000029.1_1079	-	600	1.4e-35	125.3	9.2	1	1	2.4e-38	5.9e-35	123.3	9.2	4	496	8	471	1	488	0.78	[17014 - 15233] (REVERSE SENSE)	463	0.7716666666666666
JGI12330J12834_1000008_2911	-	631	39559_VEPM01000029.1_1079	-	600	7.2e-35	123	14.6	1	1	4e-38	9.6e-35	122.5	14.6	26	509	16	510	4	528	0.74	[6802 - 4910] (REVERSE SENSE)	494	0.8233333333333334
JNCS01000001_2656	-	674	39559_VEPM01000029.1_1079	-	600	9.3e-34	119.3	10.8	1	1	5.2e-37	1.3e-33	118.9	10.8	30	507	39	533	11	565	0.75	[6823 - 4802] (REVERSE SENSE) Natrinema altunense strain AJ2 N_altunense_AJ2_contig_1, whole genome shotgun sequence.   [Natrinema altunense strain AJ2 | 222984.5]	494	0.8233333333333334
NZ_CP071597.1_529	-	617	39559_VEPM01000029.1_1079	-	600	1.5e-33	118.7	0.1	1	1	9.1e-37	2.2e-33	118.1	0.1	27	506	22	501	5	507	0.79	[33997 - 35847] Halovivax sp. KZCA124 chromosome 1, complete sequence	479	0.7983333333333333
Ga0164313_10000250_360	-	724	39559_VEPM01000029.1_1079	-	600	5.7e-33	116.7	2.5	1	1	5.2e-36	1.2e-32	115.6	2.5	24	537	37	533	14	575	0.75	[20706 - 22877]	496	0.8266666666666667
QNDS01000002.1_360	-	724	39559_VEPM01000029.1_1079	-	600	5.7e-33	116.7	2.5	1	1	5.2e-36	1.2e-32	115.6	2.5	24	537	37	533	14	575	0.75	[20706 - 22877] Candidatus Fermentibacteria bacterium isolate B22_G4 B22_Guay4_scaffold_00250, whole genome shotgun sequence	496	0.8266666666666667
Ga0208375_1000150_2954	-	644	39559_VEPM01000029.1_1079	-	600	1.4e-31	112.1	20.9	1	1	9.5e-35	2.3e-31	111.4	20.9	3	534	15	558	8	600	0.8	[63267 - 61336] (REVERSE SENSE)	543	0.905
ATYM01000002_2219	-	653	39559_VEPM01000029.1_1079	-	600	2.3e-31	111.4	4.9	1	1	1.4e-34	3.5e-31	110.8	4.9	23	506	20	517	10	522	0.78	[72925 - 70967] (REVERSE SENSE) Haloplanus natans DSM 17983 HALNADRAFT_scaffold1.1_C2, whole genome shotgun sequence.   [Haloplanus natans DSM 17983 | 926690.3]	497	0.8283333333333334
Ga0207718_100100_2679	-	649	39559_VEPM01000029.1_1079	-	600	6.6e-30	106.6	6.1	1	1	4.4e-33	1.1e-29	105.9	6.1	24	508	25	522	13	527	0.74	[6899 - 4953] (REVERSE SENSE)	497	0.8283333333333334
JABURA010000001_409	-	640	39559_VEPM01000029.1_1079	-	600	2.3e-28	101.5	2.9	1	1	1.5e-31	3.6e-28	100.8	2.9	20	493	24	496	17	544	0.77	[27237 - 29156] JABURA010000001.1 [Haloterrigena sp. SYSU A121-1 | 2496101.3]	472	0.7866666666666666
Ga0207715_100102_886	-	711	39559_VEPM01000029.1_1079	-	600	5.3e-25	90.4	7.9	1	1	4.4e-28	1.1e-24	89.4	7.9	14	514	7	545	2	624	0.7	[71922 - 69790] (REVERSE SENSE)	538	0.8966666666666666
LOEP01000012_1233	-	653	39559_VEPM01000029.1_1079	-	600	1.2e-24	89.2	8.1	1	1	7.5e-28	1.8e-24	88.6	8.1	32	491	26	502	3	530	0.71	[34719 - 32761] (REVERSE SENSE) Haloferax sp. Q22 scaffold12, whole genome shotgun sequence.   [Haloferax sp. Q22 | 1526048.3]	476	0.7933333333333333
Ga0075122_10000851_87	-	598	39559_VEPM01000029.1_1079	-	600	6.9e-24	86.7	13	1	1	3.5e-27	8.6e-24	86.4	13	6	494	7	491	1	544	0.78	[3093 - 4886]	484	0.8066666666666666
Ga0207733_100382_394	-	650	39559_VEPM01000029.1_1079	-	600	8.1e-23	83.2	5.3	1	1	5.5e-26	1.3e-22	82.5	5.3	53	492	34	501	9	528	0.7	[25041 - 26990]	467	0.7783333333333333
Ga0207719_100190_1240	-	650	39559_VEPM01000029.1_1079	-	600	1.2e-22	82.6	5.3	1	1	8.2e-26	2e-22	81.9	5.3	53	504	34	509	11	529	0.71	[11187 - 9238] (REVERSE SENSE)	475	0.7916666666666666
LKMP01000007.1_1269	-	596	39559_VEPM01000029.1_1079	-	600	5.9e-22	80.3	9	1	1	6.4e-25	1.6e-21	78.9	9	29	525	20	522	2	594	0.74	[21415 - 19628] (REVERSE SENSE) Nanohaloarchaea archaeon B1-Br10_U2g21 LB-BRINE-C121, whole genome shotgun sequence	502	0.8366666666666667
QMWF01000152.1_119	-	568	39559_VEPM01000029.1_1079	-	600	5.5e-20	73.8	11.2	1	1	5.5e-23	1.3e-19	72.6	11.2	29	525	24	514	1	563	0.71	[1705 - 2] (REVERSE SENSE) Candidatus Geothermarchaeota archaeon isolate B85_G16 B85_Guay16_scaffold_46347, whole genome shotgun sequence	490	0.8166666666666667
QMYS01000134.1_187	-	553	39559_VEPM01000029.1_1079	-	600	6.7e-17	63.6	10.8	2	2	2.8e-20	6.7e-17	63.6	10.8	201	521	197	502	182	542	0.73	[1696 - 38] (REVERSE SENSE) Candidatus Thorarchaeota archaeon isolate B59_G1 B59_Guay1_scaffold_13974, whole genome shotgun sequence	305	0.5083333333333333
CP058579_1394	-	667	39559_VEPM01000029.1_1079	-	600	1.1e-14	56.4	0.3	1	1	6.4e-18	1.6e-14	55.8	0.3	12	463	32	483	19	495	0.71	[101707 - 103707] [Halobonum sp. NJ-3-1 | 2743089.3]	451	0.7516666666666667
Ga0075120_10000694_180	-	635	39559_VEPM01000029.1_1079	-	600	2.3e-13	52	23.3	1	1	1.3e-16	3.1e-13	51.5	23.3	179	525	233	563	69	630	0.78	[9583 - 11487]	330	0.55
DTWW01000349.1_28	-	612	39559_VEPM01000029.1_1079	-	600	1.4e-12	49.3	2.5	1	1	1.2e-15	2.9e-12	48.3	2.5	172	468	225	529	75	546	0.7	[379 - 2214] TPA_asm: Candidatus Micrarchaeota archaeon isolate UWMA-0176 k99_2777214, whole genome shotgun sequence	304	0.5066666666666667
VEPM01000029.1_1392	-	235	39872_VEPM01000029.1_1392	-	260	8.3e-84	283.3	0.1	1	1	4.7e-88	9e-84	283.2	0.1	5	243	8	235	1	235	0.96	[31059 - 30355] (REVERSE SENSE) Candidatus Methanoperedens sp. isolate MnB_20 Mn.Bin2_29, whole genome shotgun sequence	227	0.8730769230769231
Ga0172379_10001592_389	-	286	39872_VEPM01000029.1_1392	-	260	6.9e-80	270.5	3	1	1	4.1e-84	7.8e-80	270.3	3	1	244	1	286	1	286	0.97	[23798 - 24655]	285	1.0961538461538463
Ga0172377_10000119_1156	-	274	39872_VEPM01000029.1_1392	-	260	8.9e-79	266.8	0.6	1	1	5.2e-83	1e-78	266.7	0.6	1	243	1	273	1	274	0.97	[57962 - 58783]	272	1.0461538461538462
Ga0172379_10000243_1087	-	279	39872_VEPM01000029.1_1392	-	260	8.3e-30	106.3	0	1	1	5.2e-34	1e-29	106.1	0	14	229	27	277	12	279	0.85	[66861 - 67697]	250	0.9615384615384616
LKMP01000007.1_1578	-	362	39872_VEPM01000029.1_1392	-	260	1.5e-14	56.3	0.2	2	3	2.8e-18	5.5e-14	54.5	0.1	116	240	154	284	120	308	0.82	[2084 - 999] (REVERSE SENSE) Nanohaloarchaea archaeon B1-Br10_U2g21 LB-BRINE-C121, whole genome shotgun sequence	130	0.5
Ga0172377_10000119_853	-	48	40171_VEPM01000029.1_1691	-	48	1.3e-31	110.4	6.2	1	1	2.9e-36	1.4e-31	110.3	6.2	1	48	1	48	1	48	0.99	[38375 - 38518]	47	0.9791666666666666
VEPM01000029.1_1691	-	46	40171_VEPM01000029.1_1691	-	48	3.3e-31	109.1	2.8	1	1	7.3e-36	3.5e-31	109	2.8	1	46	1	46	1	46	0.99	[14270 - 14133] (REVERSE SENSE) Candidatus Methanoperedens sp. isolate MnB_20 Mn.Bin2_29, whole genome shotgun sequence	45	0.9375
JNCS01000001_1813	-	399	41611_NZ_CP071597.1_384	-	330	6.6e-166	554	12.3	1	1	6.2e-170	7.5e-166	553.8	12.3	2	330	68	399	67	399	0.99	[60005 - 58809] (REVERSE SENSE) Natrinema altunense strain AJ2 N_altunense_AJ2_contig_1, whole genome shotgun sequence.   [Natrinema altunense strain AJ2 | 222984.5]	331	1.003030303030303
ATYM01000002_463	-	411	41611_NZ_CP071597.1_384	-	330	1.3e-165	553.1	7.9	1	1	1.2e-169	1.4e-165	552.9	7.9	2	330	81	411	80	411	0.99	[28581 - 29813] Haloplanus natans DSM 17983 HALNADRAFT_scaffold1.1_C2, whole genome shotgun sequence.   [Haloplanus natans DSM 17983 | 926690.3]	330	1
CP058579_1252	-	333	41611_NZ_CP071597.1_384	-	330	3.5e-150	502.3	4.6	1	1	3.2e-154	3.9e-150	502.1	4.6	3	329	3	330	1	331	0.99	[91446 - 92444] [Halobonum sp. NJ-3-1 | 2743089.3]	327	0.990909090909091
JABURA010000001_218	-	342	41611_NZ_CP071597.1_384	-	330	3e-145	486.1	10	1	1	2.9e-149	3.5e-145	485.9	10	2	328	9	341	8	342	0.99	[15439 - 16464] JABURA010000001.1 [Haloterrigena sp. SYSU A121-1 | 2496101.3]	332	1.006060606060606
NZ_CP071597.1_384	-	334	41611_NZ_CP071597.1_384	-	330	4.7e-145	485.4	9.1	1	1	4.4e-149	5.3e-145	485.3	9.1	2	330	2	330	1	330	0.99	[23645 - 24646] Halovivax sp. KZCA124 chromosome 1, complete sequence	328	0.9939393939393939
CP048739_1537	-	338	41611_NZ_CP071597.1_384	-	330	1.1e-139	467.8	14.7	1	1	1e-143	1.3e-139	467.6	14.7	3	329	6	335	4	336	0.99	[68756 - 67743] (REVERSE SENSE) [Halogeometricum borinquense strain wsp4 | 60847.21]	329	0.996969696969697
JGI12330J12834_1000008_1212	-	343	41611_NZ_CP071597.1_384	-	330	3.5e-65	222.9	12	1	1	3.4e-69	4.2e-65	222.7	12	6	328	7	341	3	343	0.93	[79225 - 80253]	334	1.0121212121212122
Ga0207718_100100_978	-	343	41611_NZ_CP071597.1_384	-	330	6.5e-63	215.5	13.9	1	1	6.5e-67	7.8e-63	215.2	13.9	5	329	6	342	3	343	0.94	[72047 - 73075]	336	1.018181818181818
NZ_CP071597.1_404	-	689	41631_NZ_CP071597.1_404	-	702	2.8e-122	411.9	0	1	1	1.8e-125	3.5e-122	411.5	0	179	691	70	652	26	665	0.84	[24691 - 26757] Halovivax sp. KZCA124 chromosome 1, complete sequence	582	0.8290598290598291
JABURA010000001_252	-	701	41631_NZ_CP071597.1_404	-	702	2.7e-120	405.3	0	1	1	1.8e-123	3.5e-120	404.9	0	88	682	42	644	13	678	0.83	[16714 - 18816] JABURA010000001.1 [Haloterrigena sp. SYSU A121-1 | 2496101.3]	602	0.8575498575498576
Ga0207733_100382_890	-	669	41631_NZ_CP071597.1_404	-	702	4.2e-119	401.3	0.1	1	1	2.8e-122	5.4e-119	401	0.1	179	689	71	623	32	648	0.86	[5062 - 3056] (REVERSE SENSE)	552	0.7863247863247863
ATYM01000002_1504	-	671	41631_NZ_CP071597.1_404	-	702	1.8e-117	395.9	0.4	1	1	1.2e-120	2.4e-117	395.5	0.4	182	691	77	633	43	651	0.84	[97462 - 99474] Haloplanus natans DSM 17983 HALNADRAFT_scaffold1.1_C2, whole genome shotgun sequence.   [Haloplanus natans DSM 17983 | 926690.3]	556	0.792022792022792
JNCS01000001_865	-	708	41631_NZ_CP071597.1_404	-	702	3.4e-116	391.7	1.5	1	1	2.3e-119	4.4e-116	391.4	1.5	176	687	98	654	34	691	0.86	[63156 - 65279] Natrinema altunense strain AJ2 N_altunense_AJ2_contig_1, whole genome shotgun sequence.   [Natrinema altunense strain AJ2 | 222984.5]	556	0.792022792022792
Ga0207719_100190_527	-	665	41631_NZ_CP071597.1_404	-	702	8e-116	390.5	0	1	1	5.3e-119	1e-115	390.2	0	163	682	59	610	17	646	0.84	[31467 - 33461]	551	0.7849002849002849
JABURA010000001_1435	-	698	41631_NZ_CP071597.1_404	-	702	4.8e-112	378	0	1	1	3.1e-115	6e-112	377.7	0	165	691	76	655	26	678	0.83	[95690 - 93597] (REVERSE SENSE) JABURA010000001.1 [Haloterrigena sp. SYSU A121-1 | 2496101.3]	579	0.8247863247863247
CP048739_1560	-	684	41631_NZ_CP071597.1_404	-	702	5e-108	364.7	0	1	1	3.3e-111	6.3e-108	364.4	0	179	688	77	629	12	656	0.85	[67727 - 65676] (REVERSE SENSE) [Halogeometricum borinquense strain wsp4 | 60847.21]	552	0.7863247863247863
CP058579_2349	-	685	41631_NZ_CP071597.1_404	-	702	2.5e-106	359.1	0	1	1	1.6e-109	3.2e-106	358.8	0	183	681	81	630	14	666	0.84	[171605 - 169551] (REVERSE SENSE) [Halobonum sp. NJ-3-1 | 2743089.3]	549	0.782051282051282
CP058579_609	-	664	41631_NZ_CP071597.1_404	-	702	2.9e-105	355.6	0	1	1	1.9e-108	3.7e-105	355.2	0	157	684	45	615	7	645	0.81	[39911 - 41902] [Halobonum sp. NJ-3-1 | 2743089.3]	570	0.811965811965812
CP058579_1269	-	705	41631_NZ_CP071597.1_404	-	702	1.3e-104	353.4	0	1	1	8.5e-108	1.6e-104	353.1	0	170	688	57	652	9	682	0.84	[92444 - 94558] [Halobonum sp. NJ-3-1 | 2743089.3]	595	0.8475783475783476
Ga0207718_100100_1006	-	468	41631_NZ_CP071597.1_404	-	702	6.4e-101	341.2	0.1	1	1	3.9e-104	7.6e-101	341	0.1	176	582	56	444	4	467	0.87	[74313 - 75716]	388	0.5527065527065527
JGI12330J12834_1000008_1244	-	468	41631_NZ_CP071597.1_404	-	702	2.4e-100	339.3	0	1	1	1.5e-103	2.9e-100	339	0	169	582	54	445	3	465	0.87	[81371 - 82774]	391	0.5569800569800569
LKMP01000007.1_800	-	616	41631_NZ_CP071597.1_404	-	702	3.4e-32	114.1	0	1	1	1.7e-34	3.2e-31	110.9	0	180	628	96	549	53	606	0.68	[40166 - 42013] Nanohaloarchaea archaeon B1-Br10_U2g21 LB-BRINE-C121, whole genome shotgun sequence	453	0.6452991452991453
JNCS01000001_1032	-	834	41631_NZ_CP071597.1_404	-	702	9.2e-12	46.5	3.2	1	1	8.3e-15	1.6e-11	45.7	3.2	183	582	216	672	122	820	0.66	[78564 - 81065] Natrinema altunense strain AJ2 N_altunense_AJ2_contig_1, whole genome shotgun sequence.   [Natrinema altunense strain AJ2 | 222984.5]	456	0.6495726495726496
ATYM01000002_1376	-	657	41631_NZ_CP071597.1_404	-	702	6.8e-11	43.7	0.3	1	1	6.8e-13	1.3e-9	39.4	0.3	183	603	36	563	6	648	0.65	[88324 - 90294] Haloplanus natans DSM 17983 HALNADRAFT_scaffold1.1_C2, whole genome shotgun sequence.   [Haloplanus natans DSM 17983 | 926690.3]	527	0.7507122507122507
LOEP01000012_940	-	275	41684_NZ_CP071597.1_457	-	167	2.6e-84	283.6	3.2	1	1	9.8e-88	4.5e-84	282.8	3.3	4	166	113	275	66	275	0.96	[53724 - 52900] (REVERSE SENSE) Haloferax sp. Q22 scaffold12, whole genome shotgun sequence.   [Haloferax sp. Q22 | 1526048.3]	162	0.9700598802395209
Ga0207719_100190_601	-	207	41684_NZ_CP071597.1_457	-	167	4.2e-81	273.2	1.5	1	1	9.2e-85	4.2e-81	273.2	1.5	4	166	42	204	1	205	0.95	[37828 - 38448]	162	0.9700598802395209
ATYM01000002_1515	-	177	41684_NZ_CP071597.1_457	-	167	1.5e-75	255.1	1.9	1	1	3.7e-79	1.7e-75	254.9	1.9	4	166	12	174	6	175	0.99	[99667 - 100197] Haloplanus natans DSM 17983 HALNADRAFT_scaffold1.1_C2, whole genome shotgun sequence.   [Haloplanus natans DSM 17983 | 926690.3]	162	0.9700598802395209
JNCS01000001_1135	-	227	41684_NZ_CP071597.1_457	-	167	1.3e-69	235.8	2.1	1	1	2.9e-73	1.3e-69	235.8	2.1	4	166	65	226	4	227	0.95	[88206 - 88886] Natrinema altunense strain AJ2 N_altunense_AJ2_contig_1, whole genome shotgun sequence.   [Natrinema altunense strain AJ2 | 222984.5]	161	0.9640718562874252
JGI12330J12834_1000008_1257	-	166	41684_NZ_CP071597.1_457	-	167	3.5e-57	195.3	4.4	1	1	8.1e-61	3.7e-57	195.2	4.4	4	165	7	166	1	166	0.98	[83594 - 84091]	159	0.9520958083832335
CP048739_1604	-	164	41684_NZ_CP071597.1_457	-	167	3.7e-54	185.5	0.1	1	1	8.9e-58	4.1e-54	185.4	0.1	4	166	3	157	1	158	0.98	[62456 - 61965] (REVERSE SENSE) [Halogeometricum borinquense strain wsp4 | 60847.21]	154	0.9221556886227545
Ga0207718_100100_1027	-	151	41684_NZ_CP071597.1_457	-	167	3.9e-51	175.7	4.4	1	1	9.7e-55	4.5e-51	175.5	4.4	12	157	7	150	2	151	0.98	[77086 - 77538]	143	0.8562874251497006
NZ_CP071597.1_457	-	156	41684_NZ_CP071597.1_457	-	167	8.6e-49	168	2.2	1	1	2.1e-52	9.8e-49	167.9	2.2	19	166	4	142	1	143	0.98	[30149 - 30616] Halovivax sp. KZCA124 chromosome 1, complete sequence	138	0.8263473053892215
CP058579_1295	-	169	41684_NZ_CP071597.1_457	-	167	3e-45	156.5	0.1	1	1	7.8e-49	3.6e-45	156.3	0.1	6	166	15	163	10	164	0.97	[95774 - 96280] [Halobonum sp. NJ-3-1 | 2743089.3]	148	0.8862275449101796
JABURA010000001_304	-	192	41684_NZ_CP071597.1_457	-	167	1.1e-39	138.4	1.9	1	1	2.9e-43	1.3e-39	138.2	1.9	15	165	38	181	29	183	0.96	[21922 - 22497] JABURA010000001.1 [Haloterrigena sp. SYSU A121-1 | 2496101.3]	143	0.8562874251497006
CP058579_3767	-	241	41684_NZ_CP071597.1_457	-	167	1.6e-13	53.3	1	1	1	5.1e-17	2.4e-13	52.8	1	19	112	120	210	108	239	0.84	[72860 - 72138] (REVERSE SENSE) [Halobonum sp. NJ-3-1 | 2743089.3]	90	0.5389221556886228
